Epoch 1/100, Train Loss: 0.008812905709492043, Val Loss: 0.0071508323680609465
Epoch 2/100, Train Loss: 0.005761802905471996, Val Loss: 0.008819565046578645
Epoch 3/100, Train Loss: 0.004735772277053911, Val Loss: 0.0025384327047504483
Epoch 4/100, Train Loss: 0.0033346713401260788, Val Loss: 0.0018563728500157594
Epoch 5/100, Train Loss: 0.0035918438481166957, Val Loss: 0.004025884314905852
Epoch 6/100, Train Loss: 0.002431238244753331, Val Loss: 0.004254090335452929
Epoch 7/100, Train Loss: 0.0026559574401471765, Val Loss: 0.0016804344695992767
Epoch 8/100, Train Loss: 0.001653493177582277, Val Loss: 0.0008771279556094669
Epoch 9/100, Train Loss: 0.0024364679254358632, Val Loss: 0.0006754111539339646
Epoch 10/100, Train Loss: 0.0019087681539531332, Val Loss: 0.0012001881189644336
Epoch 11/100, Train Loss: 0.0014769987373438199, Val Loss: 0.0023987760208547117
Epoch 12/100, Train Loss: 0.001087545179616427, Val Loss: 0.001171083661611192
Epoch 13/100, Train Loss: 0.001007726115931291, Val Loss: 0.0007848399417707696
Epoch 14/100, Train Loss: 0.0007668851450580405, Val Loss: 0.0005635390110546723
Epoch 15/100, Train Loss: 0.0008875910282222321, Val Loss: 0.0010208216018509119
Epoch 16/100, Train Loss: 0.0012267916615383001, Val Loss: 0.0005030571864335797
Epoch 17/100, Train Loss: 0.0010893742738699074, Val Loss: 0.0009296386531786993
Epoch 18/100, Train Loss: 0.0010226451449852902, Val Loss: 0.0010123545618262143
Epoch 19/100, Train Loss: 0.0011176262748631416, Val Loss: 0.000683609054540284
Epoch 20/100, Train Loss: 0.0009499756611330667, Val Loss: 0.0033211524275247937
Epoch 21/100, Train Loss: 0.0008104086460662075, Val Loss: 0.0003504620981402695
Epoch 22/100, Train Loss: 0.0008735715464717941, Val Loss: 0.004387590533588082
Epoch 23/100, Train Loss: 0.0013481812061945674, Val Loss: 0.0011520740593550726
Epoch 24/100, Train Loss: 0.0010985847730626119, Val Loss: 0.0007752947611152194
Epoch 25/100, Train Loss: 0.0009983807874232298, Val Loss: 0.0004624287567276042
Epoch 26/100, Train Loss: 0.0005332158026067191, Val Loss: 0.0010204372153384612
Epoch 27/100, Train Loss: 0.0006643972850361024, Val Loss: 0.0002844123826071154
Epoch 28/100, Train Loss: 0.0007724756441893988, Val Loss: 0.0024081232910975812
Epoch 29/100, Train Loss: 0.0005306682694208576, Val Loss: 0.0007539587729843333
Epoch 30/100, Train Loss: 0.0005892861464235466, Val Loss: 0.0017559716186951845
Epoch 31/100, Train Loss: 0.0011918030721426475, Val Loss: 0.0014870341552887113
Epoch 32/100, Train Loss: 0.001100300856778631, Val Loss: 0.014949328042566776
Epoch 33/100, Train Loss: 0.0009425009470578516, Val Loss: 0.0066064824862405655
Epoch 34/100, Train Loss: 0.0005997773148192209, Val Loss: 0.0005387113426695578
Epoch 35/100, Train Loss: 0.0005315210029948503, Val Loss: 0.0007313621259527281
Epoch 36/100, Train Loss: 0.0008232385822702781, Val Loss: 0.0005911207047756762
Epoch 37/100, Train Loss: 0.0008887614743798622, Val Loss: 0.0015966823778580874
Epoch 38/100, Train Loss: 0.0006863822969171451, Val Loss: 0.0005994625641324091
Epoch 39/100, Train Loss: 0.00032421410742244916, Val Loss: 0.0014943775598658248
Epoch 40/100, Train Loss: 0.0007132135529536753, Val Loss: 0.0005941607168642804
