Epoch 1/100, Train Loss: 691394697.6885675, Val Loss: 6585.897548828125
Epoch 2/100, Train Loss: 2608.5629165649416, Val Loss: 961.6123748779297
Epoch 3/100, Train Loss: 688.5530728149414, Val Loss: 172.2935498046875
Epoch 4/100, Train Loss: 85.230795378685, Val Loss: 60.55732089996338
Epoch 5/100, Train Loss: 38.07930228710175, Val Loss: 27.46687740325928
Epoch 6/100, Train Loss: 30.255035061836242, Val Loss: 66.78653854370117
Epoch 7/100, Train Loss: 27.435026469230653, Val Loss: 21.799244384765625
Epoch 8/100, Train Loss: 26.619230012893677, Val Loss: 22.41144287109375
Epoch 9/100, Train Loss: 31.282855305671692, Val Loss: 67.10439781188965
Epoch 10/100, Train Loss: 23.569377846717835, Val Loss: 21.870197772979736
Epoch 11/100, Train Loss: 24.4081090092659, Val Loss: 22.67371368408203
Epoch 12/100, Train Loss: 32.53945614337921, Val Loss: 113.49926803588868
Epoch 13/100, Train Loss: 41.59212618589401, Val Loss: 16.959049034118653
Epoch 14/100, Train Loss: 186.3637995147705, Val Loss: 57.952735137939456
Epoch 15/100, Train Loss: 17.593385286331177, Val Loss: 11.388345937728882
Epoch 16/100, Train Loss: 47.97154861927032, Val Loss: 31.60024085998535
Epoch 17/100, Train Loss: 354.9740721988678, Val Loss: 791.6451177978515
Epoch 18/100, Train Loss: 104.68642313718796, Val Loss: 9.885990600585938
Epoch 19/100, Train Loss: 18.648041007518767, Val Loss: 11.769278779029847
Epoch 20/100, Train Loss: 23.310569586753846, Val Loss: 105.34142509460449
Epoch 21/100, Train Loss: 32.81698497653007, Val Loss: 28.854244041442872
Epoch 22/100, Train Loss: 23.04850428342819, Val Loss: 21.663931789398195
Epoch 23/100, Train Loss: 600.1902186012268, Val Loss: 69.21927726745605
Epoch 24/100, Train Loss: 6.454537117355538e+21, Val Loss: 5.143351813794194e+19
Epoch 25/100, Train Loss: 1.4374341022289988e+19, Val Loss: 4.978545302323803e+18
Epoch 26/100, Train Loss: 3.3844003072526986e+18, Val Loss: 2.7441697270306074e+18
Epoch 27/100, Train Loss: 2.0703466332232876e+18, Val Loss: 1.8146074180342461e+18
Epoch 28/100, Train Loss: 1.4392690189791972e+18, Val Loss: 1.3110596839383288e+18
Epoch 29/100, Train Loss: 1.0564167021144257e+18, Val Loss: 9.762346946817897e+17
Epoch 30/100, Train Loss: 7.940183466349638e+17, Val Loss: 7.367233873862511e+17
Epoch 31/100, Train Loss: 6.030596370670918e+17, Val Loss: 5.604191291674565e+17
Epoch 32/100, Train Loss: 4.597292531610498e+17, Val Loss: 4.25990662584124e+17
Epoch 33/100, Train Loss: 3.488322168654974e+17, Val Loss: 3.223327312171552e+17
Epoch 34/100, Train Loss: 2.6606721498435552e+17, Val Loss: 2.4877459105472576e+17
Epoch 35/100, Train Loss: 2.0837239075851206e+17, Val Loss: 1.9539796362730144e+17
Epoch 36/100, Train Loss: 1.6578978842400522e+17, Val Loss: 1.5544474967738416e+17
Epoch 37/100, Train Loss: 1.330742641250481e+17, Val Loss: 1.2464788442171048e+17
Epoch 38/100, Train Loss: 1.0778871806199595e+17, Val Loss: 1.002464421079312e+17
Epoch 39/100, Train Loss: 8.786745966486094e+16, Val Loss: 8.137743547265712e+16
Epoch 40/100, Train Loss: 7.216978038758573e+16, Val Loss: 6.618139802468352e+16
Epoch 41/100, Train Loss: 5.961294229652111e+16, Val Loss: 5.438500122356875e+16
Epoch 42/100, Train Loss: 4.947488618433217e+16, Val Loss: 4.458220815397159e+16
Epoch 43/100, Train Loss: 4.1136538686198904e+16, Val Loss: 3.690101614275723e+16
Epoch 44/100, Train Loss: 3.44543150081468e+16, Val Loss: 3.0571925835423416e+16
Epoch 45/100, Train Loss: 2.9000490819361176e+16, Val Loss: 2.543033748513882e+16
Epoch 46/100, Train Loss: 2.447425855043928e+16, Val Loss: 2.1366425234796708e+16
Epoch 47/100, Train Loss: 2.0861576970816716e+16, Val Loss: 1.8056754424688148e+16
Epoch 48/100, Train Loss: 1.789353675538301e+16, Val Loss: 1.5520420887433052e+16
Epoch 49/100, Train Loss: 1.5454793201960878e+16, Val Loss: 1.3398259099594916e+16
Epoch 50/100, Train Loss: 1.3420237005594296e+16, Val Loss: 1.1687596485561548e+16
Epoch 51/100, Train Loss: 1.174206892763775e+16, Val Loss: 1.0138209753906544e+16
Epoch 52/100, Train Loss: 1.0355271455201034e+16, Val Loss: 8955691999030149.0
Epoch 53/100, Train Loss: 9124126616128062.0, Val Loss: 7926942346531308.0
Epoch 54/100, Train Loss: 8079081663092490.0, Val Loss: 7138694541732741.0
Epoch 55/100, Train Loss: 7219338356289700.0, Val Loss: 6356820914004296.0
Epoch 56/100, Train Loss: 6516636687353774.0, Val Loss: 5781237008265380.0
Epoch 57/100, Train Loss: 5944115269122130.0, Val Loss: 5313077297136271.0
Epoch 58/100, Train Loss: 5451422133701837.0, Val Loss: 4928335740057682.0
Epoch 59/100, Train Loss: 5018204109547766.0, Val Loss: 4571731947180524.0
Epoch 60/100, Train Loss: 4658576260396483.0, Val Loss: 4309584342092349.5
Epoch 61/100, Train Loss: 4347054019303178.0, Val Loss: 3977221567435243.5
Epoch 62/100, Train Loss: 4047640613733007.5, Val Loss: 3712471660452905.0
Epoch 63/100, Train Loss: 3792448265933291.5, Val Loss: 3489389069991936.0
Epoch 64/100, Train Loss: 3554697695765463.0, Val Loss: 3279419597190594.5
Epoch 65/100, Train Loss: 3341571356905963.5, Val Loss: 3091166109861150.5
Epoch 66/100, Train Loss: 3134719783400898.5, Val Loss: 2887899038215045.0
Epoch 67/100, Train Loss: 2956975912601518.0, Val Loss: 2735401714654904.5
Epoch 68/100, Train Loss: 2774545812380713.0, Val Loss: 2565105176889262.0
Epoch 69/100, Train Loss: 2606241306619412.5, Val Loss: 2418027796040253.5
Epoch 70/100, Train Loss: 2457945171086541.0, Val Loss: 2299764462258749.5
Epoch 71/100, Train Loss: 2303794819303997.5, Val Loss: 2123568247356784.8
Epoch 72/100, Train Loss: 2148419988451491.8, Val Loss: 1992783443766804.5
Epoch 73/100, Train Loss: 1999747301391728.8, Val Loss: 1854790216712192.0
Epoch 74/100, Train Loss: 1878503484785950.8, Val Loss: 1758876919660544.0
Epoch 75/100, Train Loss: 1747280730091683.8, Val Loss: 1610225156809031.8
Epoch 76/100, Train Loss: 1623329730503639.0, Val Loss: 1500607962635305.0
Epoch 77/100, Train Loss: 1512830866953339.0, Val Loss: 1395628252688547.8
Epoch 78/100, Train Loss: 1395849384448491.5, Val Loss: 1343338801560289.2
